time_ms,node_id,rssi_dbm,collided
9137,3,-17.283447100014683,False
9137,4,-29.25934819085409,True
9137,5,-31.894088462747455,True
9177,0,-51.50617211780494,False
9206,3,-17.283447100014683,False
9206,0,-51.50617211780494,False
9238,7,-14.6252619660141,False
9267,1,-66.72139026941323,False
9267,6,-51.5901142214492,False
9283,7,-14.6252619660141,False
9283,9,-63.6548145942005,False
9307,5,-31.894088462747455,False
9328,5,-31.894088462747455,False
9397,1,-66.72139026941323,False
9405,6,-51.5901142214492,False
9413,11,-52.84282551013513,False
9413,7,-14.6252619660141,False
9421,9,-63.6548145942005,False
9429,10,-65.6284263160874,False
9442,9,-63.6548145942005,False
9442,11,-52.84282551013513,False
9450,4,-29.25934819085409,False
9511,10,-65.6284263160874,False
9519,4,-29.25934819085409,False
9527,6,-51.5901142214492,False
9535,1,-66.72139026941323,False
9551,8,-49.23720914934826,False
9559,11,-52.84282551013513,False
9559,5,-31.894088462747455,False
9580,2,-57.08267569168619,False
9604,5,-31.894088462747455,False
9620,7,-14.6252619660141,False
9673,7,-14.6252619660141,False
9681,10,-65.6284263160874,False
9697,5,-31.894088462747455,False
9705,2,-57.08267569168619,False
9713,3,-17.283447100014683,False
9750,4,-29.25934819085409,False
9782,8,-49.23720914934826,False
9819,5,-31.894088462747455,False
9843,4,-29.25934819085409,False
9843,8,-49.23720914934826,False
9851,0,-51.50617211780494,False
9867,2,-57.08267569168619,False
9912,4,-29.25934819085409,False
9936,3,-17.283447100014683,True
9936,7,-14.6252619660141,True
9973,9,-63.6548145942005,False
9981,0,-51.50617211780494,False
9989,4,-29.25934819085409,False
9997,7,-14.6252619660141,False
10005,5,-31.894088462747455,False
10042,9,-63.6548145942005,False
10050,2,-57.08267569168619,False
10050,3,-17.283447100014683,False
10066,0,-51.50617211780494,False
10087,4,-29.25934819085409,False
10095,3,-17.283447100014683,False
10119,11,-52.84282551013513,False
10143,7,-14.6252619660141,False
10180,9,-63.6548145942005,False
10212,7,-14.6252619660141,True
10212,3,-17.283447100014683,True
10212,6,-51.5901142214492,True
10225,11,-52.84282551013513,False
10265,6,-51.5901142214492,False
10281,4,-29.25934819085409,False
10294,3,-17.283447100014683,False
10302,7,-14.6252619660141,False
10318,6,-51.5901142214492,False
10334,10,-65.6284263160874,True
10334,1,-66.72139026941323,True
10342,11,-52.84282551013513,False
10363,8,-49.23720914934826,False
10411,5,-31.894088462747455,False
10448,8,-49.23720914934826,False
10480,3,-17.283447100014683,False
10504,10,-65.6284263160874,False
10525,1,-66.72139026941323,False
10533,3,-17.283447100014683,False
10541,8,-49.23720914934826,False
10618,10,-65.6284263160874,False
10618,5,-31.894088462747455,False
10626,4,-29.25934819085409,False
10634,7,-14.6252619660141,True
10634,3,-17.283447100014683,True
10642,0,-51.50617211780494,False
10687,3,-17.283447100014683,False
10724,1,-66.72139026941323,False
10780,4,-29.25934819085409,False
10801,5,-31.894088462747455,False
10809,0,-51.50617211780494,False
10825,1,-66.72139026941323,False
10841,3,-17.283447100014683,False
10854,4,-29.25934819085409,False
10878,7,-14.6252619660141,False
10931,3,-17.283447100014683,False
10939,5,-31.894088462747455,False
10955,9,-63.6548145942005,False
10984,9,-63.6548145942005,False
10992,4,-29.25934819085409,False
11000,0,-51.50617211780494,False
11061,4,-29.25934819085409,False
11061,7,-14.6252619660141,False
11069,3,-17.283447100014683,False
11106,2,-57.08267569168619,False
11106,4,-29.25934819085409,False
11122,7,-14.6252619660141,False
11130,5,-31.894088462747455,False
11146,6,-51.5901142214492,False
11175,4,-29.25934819085409,False
11183,7,-14.6252619660141,False
11220,2,-57.08267569168619,False
11236,3,-17.283447100014683,False
11252,11,-52.84282551013513,False
11260,5,-31.894088462747455,False
11289,6,-51.5901142214492,False
11297,7,-14.6252619660141,False
11321,2,-57.08267569168619,False
11329,3,-17.283447100014683,False
11329,4,-29.25934819085409,False
11350,8,-49.23720914934826,False
11382,6,-51.5901142214492,False
11403,2,-57.08267569168619,False
11419,1,-66.72139026941323,False
11419,7,-14.6252619660141,False
11427,3,-17.283447100014683,False
11443,8,-49.23720914934826,False
11451,5,-31.894088462747455,False
11512,3,-17.283447100014683,False
11557,10,-65.6284263160874,False
11573,4,-29.25934819085409,False
11573,0,-51.50617211780494,False
11573,9,-63.6548145942005,False
11581,3,-17.283447100014683,False
11602,11,-52.84282551013513,False
11610,8,-49.23720914934826,False
11618,4,-29.25934819085409,False
11626,7,-14.6252619660141,False
11634,3,-17.283447100014683,False
11634,5,-31.894088462747455,False
11655,7,-14.6252619660141,False
11663,0,-51.50617211780494,True
11663,3,-17.283447100014683,False
11663,11,-52.84282551013513,True
11703,9,-63.6548145942005,False
11732,11,-52.84282551013513,False
11740,4,-29.25934819085409,False
11748,9,-63.6548145942005,False
11756,3,-17.283447100014683,False
11764,10,-65.6284263160874,False
11772,5,-31.894088462747455,False
11825,1,-66.72139026941323,False
11833,4,-29.25934819085409,False
11865,7,-14.6252619660141,False
11873,5,-31.894088462747455,False
11886,1,-66.72139026941323,False
11894,5,-31.894088462747455,False
11910,10,-65.6284263160874,False
11971,3,-17.283447100014683,False
11987,10,-65.6284263160874,False
12003,5,-31.894088462747455,False
12048,4,-29.25934819085409,True
12048,5,-31.894088462747455,True
12064,7,-14.6252619660141,False
12072,6,-51.5901142214492,False
12096,0,-51.50617211780494,False
12125,0,-51.50617211780494,False
12133,5,-31.894088462747455,False
12157,7,-14.6252619660141,False
12165,4,-29.25934819085409,False
12181,2,-57.08267569168619,False
12202,4,-29.25934819085409,False
12202,6,-51.5901142214492,False
12210,2,-57.08267569168619,False
12210,3,-17.283447100014683,False
12210,5,-31.894088462747455,False
12218,7,-14.6252619660141,False
12287,2,-57.08267569168619,False
12319,8,-49.23720914934826,False
12428,8,-49.23720914934826,False
12428,5,-31.894088462747455,False
12497,3,-17.283447100014683,True
12497,7,-14.6252619660141,True
12510,8,-49.23720914934826,False
12526,3,-17.283447100014683,False
12526,11,-52.84282551013513,False
12542,1,-66.72139026941323,False
12542,9,-63.6548145942005,False
12587,3,-17.283447100014683,False
12603,4,-29.25934819085409,False
12672,0,-51.50617211780494,False
12680,7,-14.6252619660141,False
12693,3,-17.283447100014683,False
12717,0,-51.50617211780494,False
12725,1,-66.72139026941323,False
12725,9,-63.6548145942005,False
12741,5,-31.894088462747455,False
12762,5,-31.894088462747455,False
12762,10,-65.6284263160874,False
12778,11,-52.84282551013513,False
12839,10,-65.6284263160874,False
12839,11,-52.84282551013513,False
12847,3,-17.283447100014683,False
12855,6,-51.5901142214492,False
12884,2,-57.08267569168619,False
12892,3,-17.283447100014683,False
12900,1,-66.72139026941323,False
12908,6,-51.5901142214492,False
12916,7,-14.6252619660141,False
12916,10,-65.6284263160874,False
12924,11,-52.84282551013513,False
12945,2,-57.08267569168619,False
12961,5,-31.894088462747455,False
12969,9,-63.6548145942005,False
12993,1,-66.72139026941323,False
13006,3,-17.283447100014683,False
13014,5,-31.894088462747455,False
13030,4,-29.25934819085409,False
13054,6,-51.5901142214492,True
13054,8,-49.23720914934826,True
13070,9,-63.6548145942005,False
13091,4,-29.25934819085409,False
13115,2,-57.08267569168619,False
13123,7,-14.6252619660141,False
13147,3,-17.283447100014683,False
13176,8,-49.23720914934826,False
13176,5,-31.894088462747455,False
13184,7,-14.6252619660141,False
13253,0,-51.50617211780494,False
13277,3,-17.283447100014683,False
13277,5,-31.894088462747455,False
13293,7,-14.6252619660141,False
13293,8,-49.23720914934826,False
13314,3,-17.283447100014683,False
13322,4,-29.25934819085409,False
13378,5,-31.894088462747455,False
13391,0,-51.50617211780494,False
13415,4,-29.25934819085409,False
13415,10,-65.6284263160874,False
13500,5,-31.894088462747455,False
13508,10,-65.6284263160874,False
13524,4,-29.25934819085409,False
